file_size,time_diff
214,0
410,10
407,10
405,0
480,0
495,0
428,0
340,0
469,0
520,10
658,0
569,0
563,0
460,0
464,0
659,0
659,0
630,0
451,0
587,0
546,10
612,0
633,0
562,0
717,0
576,0
659,0
685,0
497,1
740,0
665,0
625,0
510,0
635,0
287,0
741,0
741,0
476,0
655,0
923,10
1010,0
706,0
825,0
666,0
549,0
667,0
768,0
627,0
964,10
565,0
1174,0
738,0
822,0
799,0
645,0
798,0
749,0
649,0
540,0
645,0
638,0
1020,0
700,0
920,0
963,0
1019,10
719,0
860,0
870,0
875,0
1078,0
744,0
707,0
1246,0
687,0
1019,0
1274,0
1069,0
1017,0
705,0
736,0
731,0
1051,0
850,10
1393,0
646,0
1783,0
830,0
488,0
630,0
869,0
1249,0
757,0
1165,0
917,0
889,0
945,0
878,0
942,0
1848,10
1125,0
1228,0
871,0
858,0
1317,0
2164,1
1197,0
778,0
1208,0
1022,0
786,0
1210,0
1083,0
998,0
1281,0
890,0
995,0
946,0
1352,0
1350,0
1279,0
1233,0
1432,10
1490,0
1555,0
1474,0
1474,0
1485,0
1030,0
1474,0
1456,0
1517,0
919,0
835,0
1490,0
1016,0
1004,0
1470,0
959,0
1497,0
1443,0
1486,0
1272,0
1459,0
1002,0
1014,0
1466,0
1553,0
1014,0
1553,0
1487,0
1459,0
1480,0
1284,0
1489,0
1470,0
1470,0
1002,0
1185,0
1509,0
1483,0
1487,0
1055,0
1534,10
1533,0
1584,0
1374,0
1503,0
1534,0
991,0
1317,0
1537,0
1560,0
1340,0
1317,0
1544,0
1569,0
1501,0
1528,0
1490,0
1371,0
2683,0
673,0
1528,0
1297,0
2025,0
1532,0
1548,0
1506,0
2813,0
3087,0
860,0
1324,0
1739,0
1351,0
1555,0
1331,0
2819,0
1259,0
1533,0
1534,0
1371,0
1324,0
1335,0
1324,0
1452,1
1388,0
1272,0
1843,9
1153,0
1852,0
1470,0
1626,0
753,0
1846,0
1830,0
1753,0
1838,0
1662,0
1755,0
1760,0
1634,0
1477,0
1202,0
3247,0
1789,0
1175,0
1832,0
1558,0
1758,0
1472,0
1791,1
3512,9
1865,0
1881,0
2356,0
1925,1
2033,0
1851,0
1895,0
1894,0
1852,0
1576,0
1913,0
1537,0
1973,0
1913,0
1974,0
1054,0
1358,0
1832,0
1945,0
1862,0
1188,0
