file_size,time_diff
546848,0
14186,0
10906,2
10793,0
200355,1
200168,1
314295,0
83179,0
570,0
3863,0
198499,0
35112,0
290814,1
8072,0
308493,0
83291,0
3896,1
83557,1
4103,1
204519,9
133151,1
87791,0
29904,1
41802,0
8366,0
8478,0
8530,0
117442,0
8479,1
83152,0
3900,0
602,0
604,0
8459,0
8500,0
3937,0
83347,0
121904,1
9061,0
123032,1
31220,0
32581,1
5705,0
122351,0
30816,2
129623,0
8813,0
14294,2
34140,0
44226,0
196151,1
196131,0
349181,0
45225,0
298474,0
349159,0
45202,0
298452,0
349159,0
196131,0
298452,0
45202,0
13867,1
1054163,0
2331,2
2420,0
32685,1
45645,0
40508,0
5585,0
8278,0
2975,0
45730,0
32769,0
5385,0
8376,0
40594,0
5671,0
5301,0
2885,0
27236,1
4877,0
494914,0
494829,0
2055,0
4794,0
2146,0
30939,0
2007,0
2989,0
79899,0
29368,0
5255,0
31022,0
2095,0
120680,0
33596,0
79990,0
3901,0
27152,0
29459,0
120599,0
5340,0
33681,0
3078,0
3985,0
3589,1
3675,0
3722,0
647455,0
188555,0
188645,0
643031,0
647374,0
3637,0
643121,0
642070,1
120059,0
120139,0
642150,0
188574,2
188485,0
643212,1
643301,0
6461,2
2205,0
3221,0
2187,0
2275,0
2298,0
6547,0
3310,0
9643,18
1104359,0
1104355,0
9639,0
14490,1
3468,0
4373,0
1191848,0
3527,0
14495,0
3473,0
4378,0
1110,0
49672,0
3531,0
49667,0
1105,0
1191853,0
21913,40
1528918,0
21918,0
1528913,0
226399,4
226395,0
30323,2
30327,0
263887,1
80432,0
5139,0
80437,0
5144,0
263883,0
5921,1
5917,0
80713,0
6093,0
79384,0
80717,0
6097,0
79380,0
216578,7
216582,0
266808,1
266804,0
51256,0
51260,0
22472,2
142568,0
188176,0
188181,0
22477,0
142573,0
73143,1
73139,0
3736,0
18109,0
18113,0
118097,0
3740,0
118102,0
11948,1
11953,0
75917,0
75921,0
3212,3
3208,0
82206,1
82210,0
77894,1
98575,0
3586,0
3089,0
3093,0
56035,0
3590,0
56039,0
77898,0
98580,0
97534,1
100509,0
22485,0
22702,0
97530,0
22706,0
21939,0
22490,0
100513,0
21943,0
154326,2
78009,0
154330,0
22551,0
98482,0
98477,0
22546,0
78004,0
3380,1
3375,0
159287,1
159292,0
86882,1
19688,0
19693,0
86887,0
8450,1
8445,0
98710,1
24001,0
98714,0
24005,0
22015,1
173654,0
4450,0
79221,0
79216,0
4455,0
22020,0
173659,0
3796,1
32507,0
3791,0
32503,0
253019,1
1469856,0
253015,0
1469851,0
102924,1
79086,0
79063,0
102901,0
75237,1
31973,0
267001,0
40012,0
31950,0
1185,0
9498,0
1208,0
267024,0
75260,0
9520,0
40035,0
14437,1
65688,0
47518,0
83844,0
47495,0
65665,0
39696,0
69937,0
14414,0
83821,0
69959,0
39719,0
168620924,60
168620946,0
8626981,2
8626959,0
2836552,0
2836575,0
18954316,7
18954294,0
12870235,6
12870213,0
6137844,2
6137821,0
11478429,4
11478406,0
91849441,28
5842,0
91849418,0
5819,0
250697,1
21533,0
1001639,0
1001661,0
250720,0
21556,0
2477,1
22160,0
22030,0
23189,0
106013,0
22137,0
22008,0
23166,0
105990,0
2454,0
23446,1
437467,0
21975,0
437490,0
23469,0
21998,0
110639,1
110661,0
8184049,3
8184026,0
11997276,8
11997299,0
8326170,2
8326147,0
7727,1
33180,0
499812,0
22860,0
35203,0
499816,0
22865,0
33185,0
7733,0
173000,0
35209,0
172994,0
56706,1
46092,0
14473,0
14467,0
12695,0
56711,0
490542,0
490536,0
12689,0
46097,0
74495,1
113175,0
10820,0
10024,0
75250,0
440517,0
34647,0
10826,0
368280,0
10019,0
113170,0
34641,0
440511,0
368274,0
74489,0
75245,0
9842,1
28305,0
196197,0
9848,0
633376,0
53391,0
633370,0
10538,0
28311,0
95209,0
95203,0
10532,0
53385,0
6333,0
8048,0
5975,0
7353,0
196191,0
2612857,1
3151750,0
1504430,0
1250742,0
1250736,0
2612851,0
3151744,0
1504424,0
4222078,3
4222084,0
8835426,3
8835420,0
4843752,3
4843746,0
3913012,2
3913018,0
4973037,1
4973031,0
2545172,1
1948636,0
1948642,0
2545178,0
793422,1
793416,0
632664,1
385586,0
436952,0
608851,0
385579,0
1090943,0
608845,0
246336,0
436946,0
1090949,0
632658,0
246343,0
1170693,1
1170700,0
