file_size,time_diff
477,0
477,0
501,0
509,0
509,0
532,0
545,0
545,0
564,0
564,0
564,0
564,0
569,0
570,0
576,0
576,0
588,0
600,0
602,0
604,0
606,0
606,0
610,0
610,0
628,0
633,0
676,1
676,0
678,0
678,0
683,0
683,0
686,0
686,0
692,0
692,0
698,0
707,0
708,0
714,0
715,0
715,0
715,0
715,0
717,0
717,0
721,1
721,0
733,0
733,0
737,0
738,0
738,0
740,0
745,0
748,0
748,0
755,0
756,0
756,0
758,0
758,0
761,0
761,0
762,0
769,0
769,0
771,1
773,0
773,0
779,0
780,0
783,0
784,0
784,0
792,0
797,0
797,0
798,0
799,0
807,0
807,0
808,0
808,0
808,0
814,0
814,0
815,0
815,0
819,0
824,0
829,0
833,0
837,0
837,0
838,0
839,0
839,0
839,0
846,0
846,0
848,0
848,0
861,0
862,0
868,0
871,0
875,0
875,0
898,0
898,0
899,0
899,0
899,0
906,0
906,0
906,0
906,0
919,0
919,0
920,0
920,0
921,0
921,0
922,0
926,0
926,0
927,0
927,0
929,0
930,0
930,0
930,0
934,0
934,0
938,0
938,0
942,0
942,0
942,0
943,0
943,0
944,0
945,0
949,0
949,0
949,0
950,0
951,1
951,0
952,0
953,0
953,0
958,0
960,0
963,0
965,0
965,0
965,0
967,0
971,0
971,0
973,0
976,0
988,0
989,0
992,0
1009,0
1009,0
1033,0
1036,0
1036,0
1041,1
1041,0
1056,0
1056,0
1059,0
1059,0
1061,0
1063,0
1068,0
1068,0
1072,0
1072,0
1080,0
1080,0
1090,0
1095,0
1102,0
1102,0
1105,0
1110,0
1124,0
1152,0
1152,0
1158,0
1158,0
1165,0
1165,0
1176,0
1178,0
1178,0
1181,0
1181,0
1182,0
1185,0
1189,0
1190,0
1190,0
1198,0
1198,0
1200,0
1204,0
1208,0
1214,0
1222,0
1244,2
1266,0
1267,0
1267,0
1271,0
1271,0
1290,0
1292,0
1292,0
1295,0
1313,0
1313,0
1315,0
1323,0
1323,0
1335,0
1335,0
1337,0
1346,0
1354,0
1354,0
1359,0
1369,0
1369,0
1378,0
1393,0
1438,0
1438,0
1461,0
1501,0
1501,0
1502,0
1502,0
1524,0
1524,0
1525,0
1526,0
1541,0
1541,0
1545,0
1546,0
1553,0
1553,0
1561,0
1561,0
1564,0
1565,0
1565,0
1565,0
1565,0
1568,0
1570,2
1576,0
1585,0
1589,0
1589,0
1589,0
1589,0
1593,0
1605,0
1605,0
1613,1
1629,0
1645,0
1645,0
1669,0
1721,0
1721,0
1722,1
1745,0
1760,0
1760,0
1778,0
1778,0
1784,0
1802,0
1813,0
1830,0
1835,0
1847,0
1849,0
1849,0
1851,0
1852,0
1852,0
1852,0
1859,0
1859,0
1870,0
1873,0
1875,1
1876,0
1883,0
1895,0
1895,0
1918,0
1924,0
1924,0
1924,0
1924,0
1937,0
1937,0
1947,0
1948,0
1961,0
1965,0
1965,0
1969,0
1988,0
1993,0
1999,0
2007,0
2020,0
2048,0
2048,0
2055,0
2060,0
2060,0
2072,0
