file_size,time_diff
1393,0
1438,0
21533,0
21556,0
1393,0
1438,0
21533,0
21556,0
1393,0
1438,0
21533,0
21556,0
1393,0
1438,0
21533,0
21556,0
1393,0
1438,0
21533,0
21556,0
1393,0
1438,0
21533,0
21556,0
1393,0
1438,0
21533,0
21556,0
1393,0
1438,0
21533,0
21556,0
1393,0
1438,0
21533,0
21556,0
1393,0
1438,0
21533,0
21556,0
1393,0
1438,0
21533,0
21556,0
1393,0
1438,0
21533,0
21556,0
1393,0
1438,0
21533,0
21556,0
1393,0
1438,0
21533,0
21556,0
1393,0
1438,0
21533,0
21556,0
1393,0
1438,0
21533,0
21556,0
1393,0
1438,0
21533,0
21556,0
1393,0
1438,0
21533,0
21556,0
1393,0
1438,0
21533,0
21556,0
1393,0
1438,0
21533,0
21556,0
1393,0
1438,0
21533,0
21556,0
1393,0
1438,0
21533,0
21556,0
1393,0
1438,0
21533,0
21556,0
1393,0
1438,0
21533,0
21556,0
1393,0
1438,0
21533,0
21556,0
1393,0
1438,0
21533,0
21556,0
1393,0
1438,0
21533,0
21556,0
1393,0
1438,0
21533,0
21556,0
1393,0
1438,0
21533,0
21556,0
1393,0
1438,0
21533,0
21556,0
1393,0
1438,0
21533,0
21556,0
1393,0
1438,0
21533,0
21556,0
1393,0
1438,0
21533,0
21556,0
1393,0
1438,0
21533,0
21556,0
1393,0
1438,0
21533,0
21556,0
1393,0
1438,0
21533,0
21556,0
1393,0
1438,0
21533,0
21556,0
1393,0
1438,0
21533,0
21556,0
1393,0
1438,0
21533,0
21556,0
1393,0
1438,0
21533,0
21556,0
1393,0
1438,0
21533,0
21556,0
1393,0
1438,0
21533,0
21556,0
1393,0
1438,0
21533,0
21556,0
1393,0
1438,0
21533,0
21556,0
1393,0
1438,0
21533,0
21556,0
1393,0
1438,0
21533,0
21556,0
1393,0
1438,0
21533,0
21556,0
1393,0
1438,0
21533,0
21556,0
1393,0
1438,0
21533,0
21556,0
1393,0
1438,0
21533,0
21556,0
1393,0
1438,0
21533,0
21556,0
1393,0
1438,0
21533,0
21556,0
1393,0
1438,0
21533,0
21556,0
1393,0
1438,0
21533,0
21556,0
1393,0
1438,0
21533,0
21556,0
1393,0
1438,0
21533,0
21556,0
1393,0
1438,0
21533,0
21556,0
1393,0
1438,0
21533,0
21556,0
1393,0
1438,0
21533,0
21556,0
1393,0
1438,0
21533,0
21556,0
1393,0
1438,0
21533,0
21556,0
1393,0
1438,0
21533,0
21556,0
1393,0
1438,0
21533,0
21556,0
1393,0
1438,0
21533,0
21556,0
1393,0
1438,0
21533,0
21556,0
1393,0
1438,0
21533,0
21556,0
1393,0
1438,0
21533,0
21556,0
1393,0
1438,0
21533,0
21556,0
1393,0
1438,0
21533,0
21556,0
1393,0
1438,0
21533,0
21556,0
1393,0
1438,0
21533,0
21556,0
1393,0
1438,0
21533,0
21556,0
1393,0
1438,0
21533,0
21556,0
1393,0
1438,0
21533,0
21556,0
1393,0
1438,0
21533,0
21556,0
1393,0
1438,0
21533,0
21556,0
1393,0
1438,0
21533,0
21556,0
1393,0
1438,0
21533,0
21556,0
1393,0
1438,0
21533,0
21556,0
1393,0
1438,0
21533,0
21556,0
1393,0
1438,0
21533,0
21556,0
1393,0
1438,0
21533,0
21556,0
1393,0
1438,0
21533,0
21556,0
1393,0
1438,0
21533,0
21556,0
1393,0
1438,0
21533,0
21556,0
1393,0
1438,0
21533,0
21556,0
1393,0
1438,0
21533,0
21556,0
1393,0
1438,0
21533,0
21556,0
1393,0
1438,0
21533,0
21556,0
1393,0
1438,0
21533,0
21556,0
1393,0
1438,0
21533,0
21556,0
1393,0
1438,0
21533,0
21556,0
1393,0
1438,0
21533,0
21556,0
1393,0
1438,0
21533,0
21556,0
1393,0
1438,0
21533,0
21556,0
1393,0
1438,0
21533,0
21556,0
1393,0
1438,0
21533,0
21556,0
1393,0
1438,0
21533,0
21556,0
1393,0
1438,0
21533,0
21556,0
1393,0
1438,0
21533,0
21556,0
